2013-14 State, District, School Level EOG and EOC Report								
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.								
Results are blank or excluded from the file if the denominator is less than 5 scores or students.								
College & Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above								
								
Note:  Filter applied to all columns headers.  For sorting or filtering, click on the down arrow.								
District Name	School Name	School Code	Subject	Percent Level 1	Percent Level 2	Percent Level 3	Percent Level 4	Percent Level 5
Currituck County Schools	Currituck County High	270306	Math I	29.6	24.4	18.9	24.8	<5
Currituck County Schools	Currituck County High	270306	Biology	19.6	37.8	9.6	27.4	5.6
Currituck County Schools	Currituck County High	270306	English II	15.6	24.4	15.3	41.6	<5
Currituck County Schools	Currituck County Middle	270308	All Subjects	14.2	24.3	14.0	36.5	11.0
Currituck County Schools	Currituck County Middle	270308	All EOG	14.7	25.0	14.4	35.2	10.7
Currituck County Schools	Currituck County Middle	270308	EOG Grade 6	12.1	24.8	20.6	32.7	9.8
Currituck County Schools	Currituck County Middle	270308	EOG Grade 7	14.3	27.4	8.7	37.0	12.6
Currituck County Schools	Currituck County Middle	270308	EOG Grade 8	16.6	23.6	14.3	35.6	9.9
Currituck County Schools	Currituck County Middle	270308	All Reading	8.6	27.0	17.5	36.2	10.7
Currituck County Schools	Currituck County Middle	270308	Reading Grade 6	6.5	25.2	20.6	34.6	13.1
Currituck County Schools	Currituck County Middle	270308	Reading Grade 7	8.7	27.0	13.0	40.9	10.4
Currituck County Schools	Currituck County Middle	270308	Reading Grade 8	10.4	28.7	19.1	33.0	8.7
Currituck County Schools	Currituck County Middle	270308	All Math	22.9	28.0	11.9	29.8	7.4
Currituck County Schools	Currituck County Middle	270308	Math Grade 6	17.8	24.3	20.6	30.8	6.5
Currituck County Schools	Currituck County Middle	270308	Math Grade 7	20.0	27.8	<5	33.0	14.8
Currituck County Schools	Currituck County Middle	270308	Math Grade 8	30.7	31.6	11.4	25.4	<5
Currituck County Schools	Currituck County Middle	270308	All Science	8.8	10.5	12.3	48.2	20.2
Currituck County Schools	Currituck County Middle	270308	Science Grade 8	8.8	10.5	12.3	48.2	20.2
Currituck County Schools	Currituck County Middle	270308	All EOC	<5	<5	<5	72.4	20.7
Currituck County Schools	Currituck County Middle	270308	Math I	<5	<5	<5	72.4	20.7
Currituck County Schools	Jarvisburg Elementary	270309	All Subjects	18.9	26.3	11.2	34.7	8.8
Currituck County Schools	Jarvisburg Elementary	270309	All EOG	18.9	26.3	11.2	34.7	8.8
Currituck County Schools	Jarvisburg Elementary	270309	EOG Grade 3	18.7	27.5	9.9	26.4	17.6
Currituck County Schools	Jarvisburg Elementary	270309	EOG Grade 4	24.4	24.4	10.3	37.2	<5
Currituck County Schools	Jarvisburg Elementary	270309	EOG Grade 5	15.5	26.7	12.9	39.7	5.2
Currituck County Schools	Jarvisburg Elementary	270309	All Reading	17.2	27.0	11.5	34.4	9.8
Currituck County Schools	Jarvisburg Elementary	270309	Reading Grade 3	15.6	33.3	<5	26.7	20.0
Currituck County Schools	Jarvisburg Elementary	270309	Reading Grade 4	23.1	15.4	15.4	43.6	<5
Currituck County Schools	Jarvisburg Elementary	270309	Reading Grade 5	13.2	31.6	15.8	34.2	5.3
Currituck County Schools	Jarvisburg Elementary	270309	All Math	24.2	29.8	9.7	29.0	7.3
Currituck County Schools	Jarvisburg Elementary	270309	Math Grade 3	21.7	21.7	15.2	26.1	15.2
Currituck County Schools	Jarvisburg Elementary	270309	Math Grade 4	25.6	33.3	5.1	30.8	5.1
Currituck County Schools	Jarvisburg Elementary	270309	Math Grade 5	25.6	35.9	7.7	30.8	<5
Currituck County Schools	Jarvisburg Elementary	270309	All Science	7.7	12.8	15.4	53.8	10.3
Currituck County Schools	Jarvisburg Elementary	270309	Science Grade 5	7.7	12.8	15.4	53.8	10.3
Currituck County Schools	Shawboro Elementary School	270310	All Subjects	14.5	22.2	12.2	40.3	10.8
Currituck County Schools	Shawboro Elementary School	270310	All EOG	14.5	22.2	12.2	40.3	10.8
Currituck County Schools	Shawboro Elementary School	270310	EOG Grade 3	13.9	17.8	16.1	42.2	10.0
Currituck County Schools	Shawboro Elementary School	270310	EOG Grade 4	13.8	24.1	8.6	42.5	10.9
Currituck County Schools	Shawboro Elementary School	270310	EOG Grade 5	15.7	24.5	11.8	36.8	11.3
Currituck County Schools	Shawboro Elementary School	270310	All Reading	16.7	19.6	12.2	43.7	7.8
Currituck County Schools	Shawboro Elementary School	270310	Reading Grade 3	14.4	20.0	12.2	45.6	7.8
Currituck County Schools	Shawboro Elementary School	270310	Reading Grade 4	16.1	18.4	11.5	47.1	6.9
Currituck County Schools	Shawboro Elementary School	270310	Reading Grade 5	20.6	20.6	13.2	36.8	8.8
Currituck County Schools	Shawboro Elementary School	270310	All Math	14.3	24.9	12.2	35.9	12.7
Currituck County Schools	Shawboro Elementary School	270310	Math Grade 3	13.3	15.6	20.0	38.9	12.2
Currituck County Schools	Shawboro Elementary School	270310	Math Grade 4	11.5	29.9	5.7	37.9	14.9
Currituck County Schools	Shawboro Elementary School	270310	Math Grade 5	19.1	30.9	10.3	29.4	10.3
Currituck County Schools	Shawboro Elementary School	270310	All Science	7.4	22.1	11.8	44.1	14.7
Currituck County Schools	Shawboro Elementary School	270310	Science Grade 5	7.4	22.1	11.8	44.1	14.7
Currituck County Schools	The JP Knapp ECH (i)School	270311	All Subjects	9.1	23.9	15.2	44.7	7.1
Currituck County Schools	The JP Knapp ECH (i)School	270311	All EOC	9.1	23.9	15.2	44.7	7.1
Currituck County Schools	The JP Knapp ECH (i)School	270311	Math I	12.8	23.1	19.2	39.7	5.1
Currituck County Schools	The JP Knapp ECH (i)School	270311	Biology	8.6	24.3	10.0	47.1	10.0
Currituck County Schools	The JP Knapp ECH (i)School	270311	English II	<5	24.5	16.3	49.0	6.1
Currituck County Schools	Knotts Island Elementary	270312	All Subjects	8.1	17.8	14.8	44.4	14.8
Currituck County Schools	Knotts Island Elementary	270312	All EOG	8.1	17.8	14.8	44.4	14.8
Currituck County Schools	Knotts Island Elementary	270312	EOG Grade 3	8.3	16.7	29.2	37.5	8.3
Currituck County Schools	Knotts Island Elementary	270312	EOG Grade 4	11.9	19.0	9.5	40.5	19.0
Currituck County Schools	Knotts Island Elementary	270312	EOG Grade 5	5.8	17.4	13.0	49.3	14.5
Currituck County Schools	Knotts Island Elementary	270312	All Reading	8.9	14.3	14.3	42.9	19.6
Currituck County Schools	Knotts Island Elementary	270312	Reading Grade 3	8.3	16.7	33.3	33.3	8.3
Currituck County Schools	Knotts Island Elementary	270312	Reading Grade 4	14.3	9.5	9.5	42.9	23.8
Currituck County Schools	Knotts Island Elementary	270312	Reading Grade 5	<5	17.4	8.7	47.8	21.7
Currituck County Schools	Knotts Island Elementary	270312	All Math	8.9	19.6	14.3	44.6	12.5
Currituck County Schools	Knotts Island Elementary	270312	Math Grade 3	8.3	16.7	25.0	41.7	8.3
Currituck County Schools	Knotts Island Elementary	270312	Math Grade 4	9.5	28.6	9.5	38.1	14.3
Currituck County Schools	Knotts Island Elementary	270312	Math Grade 5	8.7	13.0	13.0	52.2	13.0
Currituck County Schools	Knotts Island Elementary	270312	All Science	<5	21.7	17.4	47.8	8.7
Currituck County Schools	Knotts Island Elementary	270312	Science Grade 5	<5	21.7	17.4	47.8	8.7
Currituck County Schools	Moyock Elementary	270316	All Subjects	13.0	19.0	15.2	41.9	10.9
Currituck County Schools	Moyock Elementary	270316	All EOG	13.0	19.0	15.2	41.9	10.9
Currituck County Schools	Moyock Elementary	270316	EOG Grade 3	7.7	14.3	17.3	40.5	20.2
Currituck County Schools	Moyock Elementary	270316	EOG Grade 4	12.4	20.0	11.8	44.1	11.8
Currituck County Schools	Moyock Elementary	270316	EOG Grade 5	17.1	21.7	16.3	41.3	<5
Currituck County Schools	Moyock Elementary	270316	All Reading	11.6	16.5	14.9	45.4	11.6
Currituck County Schools	Moyock Elementary	270316	Reading Grade 3	7.1	10.7	17.9	45.2	19.0
Currituck County Schools	Moyock Elementary	270316	Reading Grade 4	8.2	21.2	11.8	48.2	10.6
Currituck County Schools	Moyock Elementary	270316	Reading Grade 5	20.0	17.5	15.0	42.5	5.0
Currituck County Schools	Moyock Elementary	270316	All Math	14.1	21.3	12.9	38.6	13.3
Currituck County Schools	Moyock Elementary	270316	Math Grade 3	8.3	17.9	16.7	35.7	21.4
Currituck County Schools	Moyock Elementary	270316	Math Grade 4	16.5	18.8	11.8	40.0	12.9
Currituck County Schools	Moyock Elementary	270316	Math Grade 5	17.5	27.5	10.0	40.0	5.0
Currituck County Schools	Moyock Elementary	270316	All Science	13.8	20.0	23.8	41.3	<5
Currituck County Schools	Moyock Elementary	270316	Science Grade 5	13.8	20.0	23.8	41.3	<5
Currituck County Schools	Moyock Middle	270318	All Subjects	18.4	21.0	9.0	39.6	12.0
Currituck County Schools	Moyock Middle	270318	All EOG	18.9	21.6	9.1	38.6	11.7
Currituck County Schools	Moyock Middle	270318	EOG Grade 6	22.8	19.9	12.6	34.6	10.2
Currituck County Schools	Moyock Middle	270318	EOG Grade 7	19.6	22.3	5.5	38.7	13.9
Currituck County Schools	Moyock Middle	270318	EOG Grade 8	15.9	22.3	9.3	41.4	11.2
Currituck County Schools	Moyock Middle	270318	All Reading	13.0	18.8	10.5	45.7	12.0
Currituck County Schools	Moyock Middle	270318	Reading Grade 6	9.9	17.3	14.7	45.5	12.6
Currituck County Schools	Moyock Middle	270318	Reading Grade 7	13.6	16.2	7.3	49.7	13.1
Currituck County Schools	Moyock Middle	270318	Reading Grade 8	15.5	23.0	9.6	41.7	10.2
Currituck County Schools	Moyock Middle	270318	All Math	29.5	29.2	8.1	24.3	9.0
Currituck County Schools	Moyock Middle	270318	Math Grade 6	35.6	22.5	10.5	23.6	7.9
Currituck County Schools	Moyock Middle	270318	Math Grade 7	25.7	28.3	<5	27.7	14.7
Currituck County Schools	Moyock Middle	270318	Math Grade 8	27.3	36.9	10.2	21.4	<5
Currituck County Schools	Moyock Middle	270318	All Science	<5	7.0	8.0	61.0	19.3
Currituck County Schools	Moyock Middle	270318	Science Grade 8	<5	7.0	8.0	61.0	19.3
Currituck County Schools	Moyock Middle	270318	All EOC	<5	<5	5.0	72.5	22.5
Currituck County Schools	Moyock Middle	270318	Math I	<5	<5	5.0	72.5	22.5
Currituck County Schools	W T Griggs Elementary	270320	All Subjects	20.9	22.9	11.6	36.4	8.1
Currituck County Schools	W T Griggs Elementary	270320	All EOG	20.9	22.9	11.6	36.4	8.1
Currituck County Schools	W T Griggs Elementary	270320	EOG Grade 3	24.3	15.7	18.6	28.6	12.9
Currituck County Schools	W T Griggs Elementary	270320	EOG Grade 4	25.8	30.6	8.1	32.3	<5
Currituck County Schools	W T Griggs Elementary	270320	EOG Grade 5	16.7	23.0	9.5	42.9	7.9
Currituck County Schools	W T Griggs Elementary	270320	All Reading	25.9	21.3	13.9	33.3	5.6
Currituck County Schools	W T Griggs Elementary	270320	Reading Grade 3	31.4	20.0	17.1	25.7	5.7
Currituck County Schools	W T Griggs Elementary	270320	Reading Grade 4	22.6	25.8	12.9	35.5	<5
Currituck County Schools	W T Griggs Elementary	270320	Reading Grade 5	23.8	19.0	11.9	38.1	7.1
Currituck County Schools	W T Griggs Elementary	270320	All Math	17.6	25.0	8.3	38.0	11.1
Currituck County Schools	W T Griggs Elementary	270320	Math Grade 3	17.1	11.4	20.0	31.4	20.0
Currituck County Schools	W T Griggs Elementary	270320	Math Grade 4	29.0	35.5	<5	29.0	<5
Currituck County Schools	W T Griggs Elementary	270320	Math Grade 5	9.5	28.6	<5	50.0	9.5
Currituck County Schools	W T Griggs Elementary	270320	All Science	16.7	21.4	14.3	40.5	7.1
Currituck County Schools	W T Griggs Elementary	270320	Science Grade 5	16.7	21.4	14.3	40.5	7.1
Dare County Schools	District Results	280	All Subjects	15.1	18.5	10.2	41.3	14.8
Dare County Schools	District Results	280	All EOG	16.2	19.3	10.1	39.6	14.8
Dare County Schools	District Results	280	EOG Grade 3	16.3	20.4	11.5	37.4	14.5
Dare County Schools	District Results	280	EOG Grade 4	16.4	19.5	11.2	41.9	11.0
Dare County Schools	District Results	280	EOG Grade 5	13.9	19.4	10.8	38.3	17.5
Dare County Schools	District Results	280	EOG Grade 6	20.6	20.6	9.8	34.3	14.8
Dare County Schools	District Results	280	EOG Grade 7	16.3	18.2	7.4	39.5	18.6
Dare County Schools	District Results	280	EOG Grade 8	15.5	18.2	9.5	44.4	12.2
Dare County Schools	District Results	280	All Reading	15.1	19.3	12.4	41.1	12.1
Dare County Schools	District Results	280	Reading Grade 3	18.2	19.2	10.6	39.3	12.7
Dare County Schools	District Results	280	Reading Grade 4	18.3	17.5	12.8	43.3	8.1
Dare County Schools	District Results	280	Reading Grade 5	16.8	21.1	15.7	36.1	10.3
Dare County Schools	District Results	280	Reading Grade 6	11.5	21.5	13.7	37.7	15.6
Dare County Schools	District Results	280	Reading Grade 7	11.5	18.2	9.6	43.8	16.9
Dare County Schools	District Results	280	Reading Grade 8	13.8	18.2	12.2	46.4	9.4
Dare County Schools	District Results	280	All Math	19.8	21.6	8.1	35.8	14.6
Dare County Schools	District Results	280	Math Grade 3	14.4	21.5	12.4	35.4	16.3
Dare County Schools	District Results	280	Math Grade 4	14.6	21.4	9.7	40.5	13.8
Dare County Schools	District Results	280	Math Grade 5	16.0	19.8	6.2	38.9	19.1
Dare County Schools	District Results	280	Math Grade 6	29.7	19.6	5.9	30.8	14.0
Dare County Schools	District Results	280	Math Grade 7	21.1	18.2	5.2	35.2	20.3
Dare County Schools	District Results	280	Math Grade 8	24.2	28.9	8.9	33.9	<5
Dare County Schools	District Results	280	All Science	8.8	12.4	9.1	46.5	23.2
Dare County Schools	District Results	280	Science Grade 5	9.0	17.3	10.6	39.9	23.2
Dare County Schools	District Results	280	Science Grade 8	8.6	7.6	7.6	53.1	23.2
Dare County Schools	District Results	280	All EOC	10.6	15.2	10.7	48.8	14.8
Dare County Schools	District Results	280	Math I	12.9	11.0	9.8	51.2	15.1
Dare County Schools	District Results	280	Biology	11.2	20.2	10.7	36.7	21.2
Dare County Schools	District Results	280	English II	6.8	15.3	12.1	58.4	7.4
Dare County Schools	Cape Hatteras Elementary School	280302	All Subjects	16.3	16.3	10.1	43.8	13.6
Dare County Schools	Cape Hatteras Elementary School	280302	All EOG	16.3	16.3	10.1	43.8	13.6
Dare County Schools	Cape Hatteras Elementary School	280302	EOG Grade 3	12.1	16.5	12.1	44.0	15.4
Dare County Schools	Cape Hatteras Elementary School	280302	EOG Grade 4	20.2	12.8	<5	50.0	13.8
Dare County Schools	Cape Hatteras Elementary School	280302	EOG Grade 5	16.3	18.3	13.1	39.9	12.4
Dare County Schools	Cape Hatteras Elementary School	280302	All Reading	21.0	15.4	11.9	44.1	7.7
Dare County Schools	Cape Hatteras Elementary School	280302	Reading Grade 3	20.0	11.1	15.6	42.2	11.1
Dare County Schools	Cape Hatteras Elementary School	280302	Reading Grade 4	19.1	12.8	6.4	55.3	6.4
Dare County Schools	Cape Hatteras Elementary School	280302	Reading Grade 5	23.5	21.6	13.7	35.3	5.9
Dare County Schools	Cape Hatteras Elementary School	280302	All Math	13.2	16.0	6.9	43.8	20.1
Dare County Schools	Cape Hatteras Elementary School	280302	Math Grade 3	<5	21.7	8.7	45.7	19.6
Dare County Schools	Cape Hatteras Elementary School	280302	Math Grade 4	21.3	12.8	<5	44.7	21.3
Dare County Schools	Cape Hatteras Elementary School	280302	Math Grade 5	13.7	13.7	11.8	41.2	19.6
Dare County Schools	Cape Hatteras Elementary School	280302	All Science	11.8	19.6	13.7	43.1	11.8
Dare County Schools	Cape Hatteras Elementary School	280302	Science Grade 5	11.8	19.6	13.7	43.1	11.8
Dare County Schools	Cape Hatteras Secondary School	280304	All Subjects	14.8	19.7	11.1	41.1	13.2
Dare County Schools	Cape Hatteras Secondary School	280304	All EOG	13.1	21.9	10.1	42.1	12.8
Dare County Schools	Cape Hatteras Secondary School	280304	EOG Grade 6	21.4	30.0	8.6	24.3	15.7
Dare County Schools	Cape Hatteras Secondary School	280304	EOG Grade 7	14.1	25.0	13.0	37.0	10.9
Dare County Schools	Cape Hatteras Secondary School	280304	EOG Grade 8	8.1	15.6	8.9	54.8	12.6
Dare County Schools	Cape Hatteras Secondary School	280304	All Reading	12.7	23.0	12.7	42.9	8.7
Dare County Schools	Cape Hatteras Secondary School	280304	Reading Grade 6	11.4	37.1	8.6	31.4	11.4
Dare County Schools	Cape Hatteras Secondary School	280304	Reading Grade 7	13.0	28.3	21.7	28.3	8.7
Dare County Schools	Cape Hatteras Secondary School	280304	Reading Grade 8	13.3	6.7	6.7	66.7	6.7
Dare County Schools	Cape Hatteras Secondary School	280304	All Math	16.7	24.6	7.1	37.3	14.3
Dare County Schools	Cape Hatteras Secondary School	280304	Math Grade 6	31.4	22.9	8.6	17.1	20.0
Dare County Schools	Cape Hatteras Secondary School	280304	Math Grade 7	15.2	21.7	<5	45.7	13.0
Dare County Schools	Cape Hatteras Secondary School	280304	Math Grade 8	6.7	28.9	8.9	44.4	11.1
Dare County Schools	Cape Hatteras Secondary School	280304	All Science	<5	11.1	11.1	53.3	20.0
Dare County Schools	Cape Hatteras Secondary School	280304	Science Grade 8	<5	11.1	11.1	53.3	20.0
Dare County Schools	Cape Hatteras Secondary School	280304	All EOC	18.7	14.9	13.4	38.8	14.2
Dare County Schools	Cape Hatteras Secondary School	280304	Math I	14.5	16.4	9.1	36.4	23.6
Dare County Schools	Cape Hatteras Secondary School	280304	Biology	21.7	15.2	15.2	37.0	10.9
Dare County Schools	Cape Hatteras Secondary School	280304	English II	21.2	12.1	18.2	45.5	<5
Dare County Schools	Dare County Alternative School	280306	All Subjects	53.8	28.2	7.7	10.3	<5
Dare County Schools	Dare County Alternative School	280306	All EOG	53.6	28.6	7.1	10.7	<5
Dare County Schools	Dare County Alternative School	280306	EOG Grade 8	58.3	20.8	8.3	12.5	<5
Dare County Schools	Dare County Alternative School	280306	All Reading	50.0	20.0	10.0	20.0	<5
Dare County Schools	Dare County Alternative School	280306	Reading Grade 8	62.5	<5	12.5	25.0	<5
Dare County Schools	Dare County Alternative School	280306	All Math	60.0	30.0	10.0	<5	<5
Dare County Schools	Dare County Alternative School	280306	Math Grade 8	62.5	25.0	12.5	<5	<5
Dare County Schools	Dare County Alternative School	280306	All Science	50.0	37.5	<5	12.5	<5
Dare County Schools	Dare County Alternative School	280306	Science Grade 8	50.0	37.5	<5	12.5	<5
Dare County Schools	Dare County Alternative School	280306	All EOC	54.5	27.3	9.1	9.1	<5
Dare County Schools	Dare County Alternative School	280306	Biology	80.0	20.0	<5	<5	<5
Dare County Schools	Kitty Hawk Elementary School	280308	All Subjects	10.7	17.2	11.1	42.3	18.7
Dare County Schools	Kitty Hawk Elementary School	280308	All EOG	10.7	17.2	11.1	42.3	18.7
Dare County Schools	Kitty Hawk Elementary School	280308	EOG Grade 3	11.5	16.7	12.8	40.4	18.6
Dare County Schools	Kitty Hawk Elementary School	280308	EOG Grade 4	11.3	20.0	11.9	43.1	13.8
Dare County Schools	Kitty Hawk Elementary School	280308	EOG Grade 5	9.8	15.6	9.3	43.1	22.2
Dare County Schools	Kitty Hawk Elementary School	280308	All Reading	9.0	14.6	15.5	46.4	14.6
Dare County Schools	Kitty Hawk Elementary School	280308	Reading Grade 3	11.5	15.4	10.3	42.3	20.5
Dare County Schools	Kitty Hawk Elementary School	280308	Reading Grade 4	10.0	16.3	15.0	47.5	11.3
Dare County Schools	Kitty Hawk Elementary School	280308	Reading Grade 5	5.3	12.0	21.3	49.3	12.0
Dare County Schools	Kitty Hawk Elementary School	280308	All Math	15.0	21.9	9.0	37.3	16.7
Dare County Schools	Kitty Hawk Elementary School	280308	Math Grade 3	11.5	17.9	15.4	38.5	16.7
Dare County Schools	Kitty Hawk Elementary School	280308	Math Grade 4	12.5	23.8	8.8	38.8	16.3
Dare County Schools	Kitty Hawk Elementary School	280308	Math Grade 5	21.3	24.0	<5	34.7	17.3
Dare County Schools	Kitty Hawk Elementary School	280308	All Science	<5	10.7	<5	45.3	37.3
Dare County Schools	Kitty Hawk Elementary School	280308	Science Grade 5	<5	10.7	<5	45.3	37.3
Dare County Schools	Nags Head Elementary School	280310	All Subjects	12.0	16.0	9.6	42.4	20.0
Dare County Schools	Nags Head Elementary School	280310	All EOG	12.0	16.0	9.6	42.4	20.0
Dare County Schools	Nags Head Elementary School	280310	EOG Grade 3	12.8	17.4	10.1	44.5	15.1
Dare County Schools	Nags Head Elementary School	280310	EOG Grade 4	19.8	16.0	14.8	42.0	7.4
Dare County Schools	Nags Head Elementary School	280310	EOG Grade 5	6.9	14.9	6.2	40.9	31.2
Dare County Schools	Nags Head Elementary School	280310	All Reading	13.8	17.7	10.3	45.7	12.4
Dare County Schools	Nags Head Elementary School	280310	Reading Grade 3	11.9	16.5	8.3	52.3	11.0
Dare County Schools	Nags Head Elementary School	280310	Reading Grade 4	19.8	14.8	14.8	44.4	6.2
Dare County Schools	Nags Head Elementary School	280310	Reading Grade 5	10.9	21.7	8.7	39.1	19.6
Dare County Schools	Nags Head Elementary School	280310	All Math	13.1	17.4	10.3	40.1	19.1
Dare County Schools	Nags Head Elementary School	280310	Math Grade 3	13.8	18.3	11.9	36.7	19.3
Dare County Schools	Nags Head Elementary School	280310	Math Grade 4	19.8	17.3	14.8	39.5	8.6
Dare County Schools	Nags Head Elementary School	280310	Math Grade 5	6.5	16.3	<5	44.6	28.3
Dare County Schools	Nags Head Elementary School	280310	All Science	<5	6.5	5.4	39.1	45.7
Dare County Schools	Nags Head Elementary School	280310	Science Grade 5	<5	6.5	5.4	39.1	45.7
Dare County Schools	Manteo Elementary School	280312	All Subjects	22.9	25.2	12.2	32.0	7.7
Dare County Schools	Manteo Elementary School	280312	All EOG	22.9	25.2	12.2	32.0	7.7
Dare County Schools	Manteo Elementary School	280312	EOG Grade 3	23.6	25.2	11.4	29.9	9.8
Dare County Schools	Manteo Elementary School	280312	EOG Grade 4	19.2	22.6	12.8	36.3	9.0
Dare County Schools	Manteo Elementary School	280312	EOG Grade 5	24.9	27.0	12.3	30.6	5.1
Dare County Schools	Manteo Elementary School	280312	All Reading	26.8	24.2	14.1	28.5	6.5
Dare County Schools	Manteo Elementary School	280312	Reading Grade 3	27.6	24.4	11.0	27.6	9.4
Dare County Schools	Manteo Elementary School	280312	Reading Grade 4	23.1	21.4	14.5	33.3	7.7
Dare County Schools	Manteo Elementary School	280312	Reading Grade 5	29.7	27.0	17.1	24.3	<5
Dare County Schools	Manteo Elementary School	280312	All Math	20.3	25.1	9.3	35.5	9.9
Dare County Schools	Manteo Elementary School	280312	Math Grade 3	19.7	26.0	11.8	32.3	10.2
Dare County Schools	Manteo Elementary School	280312	Math Grade 4	15.4	23.9	11.1	39.3	10.3
Dare County Schools	Manteo Elementary School	280312	Math Grade 5	26.1	25.2	<5	35.1	9.0
Dare County Schools	Manteo Elementary School	280312	All Science	18.9	28.8	15.3	32.4	<5
Dare County Schools	Manteo Elementary School	280312	Science Grade 5	18.9	28.8	15.3	32.4	<5
Dare County Schools	Manteo High School	280316	All Subjects	13.3	20.5	11.8	45.5	8.9
Dare County Schools	Manteo High School	280316	All EOC	13.3	20.5	11.8	45.5	8.9
Dare County Schools	Manteo High School	280316	Math I	17.9	14.5	16.2	45.3	6.0
Dare County Schools	Manteo High School	280316	Biology	11.6	23.2	9.8	41.1	14.3
Dare County Schools	Manteo High School	280316	English II	10.2	23.7	9.3	50.0	6.8
Dare County Schools	Manteo Middle School	280320	All Subjects	21.9	19.5	8.9	37.5	12.2
Dare County Schools	Manteo Middle School	280320	All EOG	22.6	20.2	9.1	35.9	12.2
Dare County Schools	Manteo Middle School	280320	EOG Grade 6	26.2	20.1	11.9	30.7	11.1
Dare County Schools	Manteo Middle School	280320	EOG Grade 7	22.5	20.2	7.8	34.5	15.1
Dare County Schools	Manteo Middle School	280320	EOG Grade 8	20.3	20.3	8.1	40.4	10.8
Dare County Schools	Manteo Middle School	280320	All Reading	16.8	21.7	13.1	38.5	9.9
Dare County Schools	Manteo Middle School	280320	Reading Grade 6	15.6	21.3	18.0	34.4	10.7
Dare County Schools	Manteo Middle School	280320	Reading Grade 7	18.6	17.8	9.3	41.9	12.4
Dare County Schools	Manteo Middle School	280320	Reading Grade 8	16.3	26.0	12.2	39.0	6.5
Dare County Schools	Manteo Middle School	280320	All Math	31.6	23.0	6.4	28.3	10.7
Dare County Schools	Manteo Middle School	280320	Math Grade 6	36.9	18.9	5.7	27.0	11.5
Dare County Schools	Manteo Middle School	280320	Math Grade 7	26.4	22.5	6.2	27.1	17.8
Dare County Schools	Manteo Middle School	280320	Math Grade 8	31.7	27.6	7.3	30.9	<5
Dare County Schools	Manteo Middle School	280320	All Science	13.0	7.3	<5	51.2	23.6
Dare County Schools	Manteo Middle School	280320	Science Grade 8	13.0	7.3	<5	51.2	23.6
Dare County Schools	Manteo Middle School	280320	All EOC	<5	<5	<5	83.3	13.3
Dare County Schools	Manteo Middle School	280320	Math I	<5	<5	<5	83.3	13.3
Dare County Schools	First Flight Elementary School	280324	All Subjects	10.8	20.8	12.5	39.4	16.6
Dare County Schools	First Flight Elementary School	280324	All EOG	10.8	20.8	12.5	39.4	16.6
Dare County Schools	First Flight Elementary School	280324	EOG Grade 3	16.4	23.3	12.1	31.0	17.2
Dare County Schools	First Flight Elementary School	280324	EOG Grade 4	10.3	22.4	8.6	44.8	13.8
Dare County Schools	First Flight Elementary School	280324	EOG Grade 5	7.3	18.1	15.3	41.2	18.1
Dare County Schools	First Flight Elementary School	280324	All Reading	14.9	21.1	12.6	39.4	12.0
Dare County Schools	First Flight Elementary School	280324	Reading Grade 3	17.2	24.1	10.3	34.5	13.8
Dare County Schools	First Flight Elementary School	280324	Reading Grade 4	17.2	19.0	8.6	46.6	8.6
Dare County Schools	First Flight Elementary School	280324	Reading Grade 5	10.2	20.3	18.6	37.3	13.6
Dare County Schools	First Flight Elementary School	280324	All Math	8.6	21.1	11.4	37.1	21.7
Dare County Schools	First Flight Elementary School	280324	Math Grade 3	15.5	22.4	13.8	27.6	20.7
Dare County Schools	First Flight Elementary School	280324	Math Grade 4	<5	25.9	8.6	43.1	19.0
Dare County Schools	First Flight Elementary School	280324	Math Grade 5	6.8	15.3	11.9	40.7	25.4
Dare County Schools	First Flight Elementary School	280324	All Science	5.1	18.6	15.3	45.8	15.3
Dare County Schools	First Flight Elementary School	280324	Science Grade 5	5.1	18.6	15.3	45.8	15.3
Dare County Schools	First Flight Middle School	280328	All Subjects	13.2	16.4	8.5	43.8	18.0
Dare County Schools	First Flight Middle School	280328	All EOG	13.9	17.2	8.8	43.0	17.1
Dare County Schools	First Flight Middle School	280328	EOG Grade 6	17.0	19.2	8.7	38.2	17.0
Dare County Schools	First Flight Middle School	280328	EOG Grade 7	12.8	15.0	6.0	43.5	22.7
Dare County Schools	First Flight Middle School	280328	EOG Grade 8	12.7	17.5	10.6	45.8	13.5
Dare County Schools	First Flight Middle School	280328	All Reading	8.8	17.0	10.9	45.6	17.7
Dare County Schools	First Flight Middle School	280328	Reading Grade 6	9.0	18.9	11.9	40.8	19.4
Dare County Schools	First Flight Middle School	280328	Reading Grade 7	6.8	15.5	7.2	48.8	21.7
Dare County Schools	First Flight Middle School	280328	Reading Grade 8	10.6	16.8	13.5	47.1	12.0
Dare County Schools	First Flight Middle School	280328	All Math	22.0	21.3	6.7	36.1	14.0
Dare County Schools	First Flight Middle School	280328	Math Grade 6	25.0	19.5	5.5	35.5	14.5
Dare County Schools	First Flight Middle School	280328	Math Grade 7	18.8	14.5	<5	38.2	23.7
Dare County Schools	First Flight Middle School	280328	Math Grade 8	22.1	29.8	9.6	34.6	<5
